"Header","Principal Entity Name"
"105105","Pinnacle Tele Services Private Limited"
"105106","Pinnacle Tele Services Private Limited"
"106106","Pinnacle Tele Services Private Limited"
"106486","GONDIA DIST CENTRAL COOP BANK LTD"
"107001","THE MYSORE AND CHAMARAJANAGAR DISTRICT CO OPERATIVE CENTRAL BANK LIMITED"
"107107","Pinnacle Tele Services Private Limited"
"107750","FINCARE SMALL FINANCE BANK LIMITED"
"108108","Pinnacle Tele Services Private Limited"
"108686","SUNDERLAL SAWAJI URBAN CO"
"109109","Pinnacle Tele Services Private Limited"
"109999","Bharat Co"
"110000","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"110010","Vikara Services Pvt Limited"
"110101","Zaitech Technologies Pvt Ltd"
"110110","Pinnacle Tele Services Private Limited"
"110111","Canara Bank"
"110148","RUDRA SHARES & STOCK BROKERS LIMITED"
"111000","Kotak Mahindra Bank Ltd"
"111009","Fanatical Technologies Private Limited"
"111014","THE KODAGU DISTRICT COOPERATIVE CENTRAL BANK LTD"
"111016","CamdenTown Technologies private Limited"
"111101","IDFC FIRST BANK LIMITED"
"111102","IDFC FIRST BANK LIMITED"
"111103","IDFC FIRST BANK LIMITED"
"111104","IDFC FIRST BANK LIMITED"
"111105","IDFC FIRST BANK LIMITED"
"111106","IDFC FIRST BANK LIMITED"
"111107","IDFC FIRST BANK LIMITED"
"111108","IDFC FIRST BANK LIMITED"
"111109","IDFC FIRST BANK LIMITED"
"111110","Pinnacle Tele Services Private Limited"
"111111","Stardotstar Software Ltd"
"111112","Freecharge Payment Technologies Private Limited"
"111113","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"111114","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"111115","Pinnacle Tele Services Private Limited"
"111116","Pinnacle Tele Services Private Limited"
"111117","Pinnacle Tele Services Private Limited"
"111118","Pinnacle Tele Services Private Limited"
"111119","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"111120","Acko General Insurance Limited"
"111121","Acko General Insurance Limited"
"111122","Acko General Insurance Limited"
"111123","ePaisa Services private limited"
"111124","Acko General Insurance Limited"
"111133","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"111144","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"111150","MANAPPURAM FINANCE LTD"
"111155","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"111160","MANAPPURAM FINANCE LTD"
"111166","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"111177","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"111188","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"111199","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"111200","ROYALSUNDARAM GENERAL INSURANCE CO LTD"
"111211","Pinnacle Tele Services Private Limited"
"111221","REDGIRRAFFE ECOMMERCE (INDIA) PRIVATE LIMITED"
"111311","Pinnacle Tele Services Private Limited"
"111333","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"111411","Pinnacle Tele Services Private Limited"
"111444","IDBI BANK LIMITED"
"111456","REDGIRRAFFE ECOMMERCE (INDIA) PRIVATE LIMITED"
"111511","Pinnacle Tele Services Private Limited"
"111540","CANARA HSBC ORIENTAL BANK OF COMMERCE LIFE INSURANCE COMPANY LIMITED"
"111555","NSDL Payments Bank Limited"
"111611","KARNATAKA GRAMIN BANK"
"111666","United Bank Of India"
"111711","Pinnacle Tele Services Private Limited"
"111777","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"111811","Pinnacle Tele Services Private Limited"
"111888","Kotak Mahindra Bank Ltd"
"111904","City Union Bank"
"111911","Pinnacle Tele Services Private Limited"
"111917","The Karad Urban Cooperative Bank Limited"
"111921","TAMILNAD MERCANTILE BANK LIMITED"
"111979","JALGAON JANATA SAHKARI BANK LTD JALGAON"
"111996","Urban Co"
"111999","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"112000","THE GANDHINAGAR URBAN CO OP BANK LTD"
"112001","THE CHIKMAGALUR DISTRICT CO"
"112011","Pinnacle Tele Services Private Limited"
"112111","Pinnacle Tele Services Private Limited"
"112112","Pinnacle Tele Services Private Limited"
"112121","global research"
"112200","Poonawalla Finance Private Limited"
"112211","Poonawalla Finance Private Limited"
"112222","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"112233","Upwards Fintech Services Pvt Ltd"
"112266","STAR HEALTH AND ALLIED INSURANCE COMPANY LIMITED"
"112345","3EA LIMITED"
"112369","Reliance Nippon Life Insurance Company Limited"
"112389","NEOGROWTH CREDIT PVT LTD"
"112499","Experian Credit Information Company of India Private Limited"
"112511","Pinnacle Tele Services Private Limited"
"112611","Pinnacle Tele Services Private Limited"
"112711","Pinnacle Tele Services Private Limited"
"112811","Pinnacle Tele Services Private Limited"
"112911","Pinnacle Tele Services Private Limited"
"113000","Dhanlaxmi Bank Ltd"
"113011","Pinnacle Tele Services Private Limited"
"113030","CPP ASSISTANCE SERVICES PRIVATE LIMITED"
"113111","Pinnacle Tele Services Private Limited"
"113113","Pinnacle Tele Services Private Limited"
"113131","global research"
"113211","Pinnacle Tele Services Private Limited"
"113311","KERALA GRAMIN BANK"
"113322","CHOLAMANDALAM SECURITIES LIMITED"
"113333","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"113344","VASTECH SOLUTIONS PRIVATE LIMITED"
"113366","Savensa Business Solutions Private Limited"
"113411","Pinnacle Tele Services Private Limited"
"113511","Pinnacle Tele Services Private Limited"
"113611","Pinnacle Tele Services Private Limited"
"113711","Pinnacle Tele Services Private Limited"
"113811","Pinnacle Tele Services Private Limited"
"113911","Pinnacle Tele Services Private Limited"
"114000","THE VIJAYAPURA DIST.. CENTRAL CO"
"114011","Pinnacle Tele Services Private Limited"
"114111","Pinnacle Tele Services Private Limited"
"114114","Pinnacle Tele Services Private Limited"
"114141","PROVIDENTIAL ADVISORY SERVICES PRIVATE LIMITED"
"114211","Pinnacle Tele Services Private Limited"
"114224","MAYBRIGHT VENTURES PRIVATE LIMITED"
"114311","Pinnacle Tele Services Private Limited"
"114411","KARNATAKA GRAMIN BANK"
"114444","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"114511","Pinnacle Tele Services Private Limited"
"114611","Pinnacle Tele Services Private Limited"
"114711","Pinnacle Tele Services Private Limited"
"114811","Pinnacle Tele Services Private Limited"
"114911","Pinnacle Tele Services Private Limited"
"115011","Pinnacle Tele Services Private Limited"
"115111","Pinnacle Tele Services Private Limited"
"115115","Pinnacle Tele Services Private Limited"
"115211","Pinnacle Tele Services Private Limited"
"115311","Pinnacle Tele Services Private Limited"
"115411","Pinnacle Tele Services Private Limited"
"115511","Pinnacle Tele Services Private Limited"
"115551","EQUITAS SMALL FINANCE BANK LIMITED"
"115555","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"115611","Pinnacle Tele Services Private Limited"
"115651","The Thane District Central Co Operative Bank"
"115711","Pinnacle Tele Services Private Limited"
"115811","Pinnacle Tele Services Private Limited"
"115911","Pinnacle Tele Services Private Limited"
"116001","THE KANARA DISTRICT CENTRAL CO OP BANK LTD"
"116011","Pinnacle Tele Services Private Limited"
"116077","Indore Paraspar Sahakari Bank Limited"
"116101","SHREE AVTARA FINTECH SERVICES PRIVATE LIMITED"
"116111","Pinnacle Tele Services Private Limited"
"116116","Pinnacle Tele Services Private Limited"
"116211","Pinnacle Tele Services Private Limited"
"116311","Pinnacle Tele Services Private Limited"
"116411","Pinnacle Tele Services Private Limited"
"116511","Pinnacle Tele Services Private Limited"
"116611","KARNATAKA GRAMIN BANK"
"116666","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"116711","Pinnacle Tele Services Private Limited"
"116811","Pinnacle Tele Services Private Limited"
"116911","Pinnacle Tele Services Private Limited"
"117011","Pinnacle Tele Services Private Limited"
"117111","Pinnacle Tele Services Private Limited"
"117117","Pinnacle Tele Services Private Limited"
"117211","Pinnacle Tele Services Private Limited"
"117311","Pinnacle Tele Services Private Limited"
