"Header","Principal Entity Name"
"ARSTCH","ARS SOFTECH"
"ARTAFR","Moksh Techno"
"ARTANS","ARTANS ARTS ACADEMY"
"ARTEMS","ARTEMIS MEDICARE SERVICES LIMITED"
"ARTHFS","ARTH MICRO FINANCE PRIVATE LIMITED"
"ARTHOS","ArthaYantra Corporation Private Limited"
"ARTHRT","TICKETGOOSE COM INDIA PRIVATE LIMITED"
"ARTLPL","Abhiraj Technologies Pvt Ltd"
"ARTLTV","Wynk Limited"
"ARTNOC","ARTZSOURCE EXPORTS LLP"
"ARTPSA","National Informatics Centre Services Inc"
"ARTSII","NARI TECHNOLOGIES PRIVATE LIMITED"
"ARTTRN","ARTZSOURCE EXPORTS LLP"
"ARTWRK","ADROIT ENTERPRISE"
"ARUHAT","ARUHAT TECHNOLOGIES PVT LTD"
"ARUMMY","OPENPLAY TECHNOLOGIES PRIVATE LIMITED"
"ARUNAA","ARUNA BLUE METALS (MSAND & PSAND)"
"ARUNAT","ARUN MOTORS PVT LTD"
"ARUNBJ","ARUN MOTORS PVT LTD"
"ARUNMK","ARUN MOTORS PVT LTD"
"ARUNMO","ARUN MOTORS PVT LTD"
"ARVIND","ARVIND LIFESTYLE BRANDS LIMITED"
"ARVTUT","ARVIND TUTORIALS"
"ARWAPB","Bharti Airtel Limited"
"ARWDTH","Bharti Airtel Limited"
"ARWFIF","Bharti Airtel Limited"
"ARWHRD","Bharti Airtel Limited"
"ARWIFI","Bharti Airtel Limited"
"ARWIMP","Bharti Airtel Limited"
"ARWINF","Bharti Airtel Limited"
"ARWRET","Bharti Airtel Limited"
"ARWSVC","Bharti Airtel Limited"
"ARYACO","SD ARYA EDUCATIONAL SOCIETY"
"ARYAHC","ARYA AND COMPANY"
"ARYAIN","ARYA AND COMPANY"
"ARYAIT","ARYA COLLEGE OF ENGINEERING & INFORMATION TECHNOLOGY"
"ARYAMN","ARYA COLLEGE OF ENGINEERING & INFORMATION TECHNOLOGY"
"ARYANW","ASCENT HEALTH AND WELLNESS SOLUTIONS PRIVATE LIMITED"
"ARYASL","ARYA AND COMPANY"
"ARYATR","TICKETGOOSE COM INDIA PRIVATE LIMITED"
"ARYTVS","DJ"
"ARZOOO","Sterne India Private Limited"
"ASABHA","AGGARWAL SABHA SHALIMAR BAGH"
"ASBALT","Syndicate Bank"
"ASBANK","THE ANNASAHEB SAVANT CO OPERATIVE URBAN BANK MAHAD LIMITED"
"ASBIND","THE AMERICAN SCHOOL OF BOMBAY EDUCATION TRUST"
"ASCBNK","Associate CoOperative Bank Ltd."
"ASCCSL","Ayshwarya Syndicate Souharda Credit Cooperative Limited"
"ASCEND","ASCEND FINANCIAL INC"
"ASCENT","TIMES INTERNET LIMITED"
"ASCIND","THE ADVERTISING STANDARDS COUNCIL OF INDIA"
"ASCOTP","ASC ALLSOFT IT CONSULTING PRIVATE LIMITED"
"ASCSMS","ASC ALLSOFT IT CONSULTING PRIVATE LIMITED"
"ASENHR","apala welfar and education society"
"ASGSDM","ASGS INFOSYSTEM PRIVATE LIMITED"
"ASHAGS","National Informatics Centre Services Inc"
"ASHAIN","India Health Action Trust"
"ASHAKL","STATE HEALTH AND FAMILY WELFARE SOCIETY AROGYAKERALAM NATIONAL HEALTH MISSION KERALA"
"ASHAMK","ASHA MAHILA MILK PRODUCER COMPANY LIMITED"
"ASHARP","Allen Career Institute"
"ASHASL","ASHA MAHILA MILK PRODUCER COMPANY LIMITED"
"ASHIKA","ASHIKA STOCK BROKING LIMITED"
"ASHINX","ASPIRE ENTERPRISES"
"ASHISH","ASHISH KUMAR TIWARI"
"ASHLAR","ASHLAR SECURITIES PVT LTD"
"ASHMDH","VRT MESSAGING PRIVATE LIMITED"
"ASHOKA","Ashoka Infraways Limited"
"ASHOKE","Bharti Airtel Limited"
"ASHOKH","ASHOK ENTERPRISE (NAGARGATE)"
"ASHOKJ","ASHOK JEWELLERS"
"ASHOKT","ASHOKA TRAVELS"
"ASHOND","ASHWANI AUTOMOBILES"
"ASHRAM","IIT ASHRAM"
"ASHRAY","ASHRAY CLINIC"
"ASHRWD","Ashirwad Gas Agency"
"ASHTAV","ASHTAVINAYAK INC."
"ASIABB","ASIANET SATELLITE COMMUNICATIONS PRIVATE LIMITED"
"ASIANH","BLUE SAPPHIRE HEALTHCARES PVT. LTD."
"ASIANN","ASIAN CLASSES PRIVATE LIMITED"
"ASIANP","ASIAN PAINTS LIMITED"
"ASIANT","ASIAN PAINTS LIMITED"
"ASIANV","BLUE SAPPHIRE HEALTHCARES PVT. LTD."
"ASIATV","ASIANET SATELLITE COMMUNICATIONS PRIVATE LIMITED"
"ASILTD","AUTO SALES INDIA LIMITED"
"ASINFO","ACCURATE SOLUTIONS"
"ASINGH","National Informatics Centre Services Inc"
"ASISOC","The Association Of Surgeons Of India"
"ASISTD","Matrimony.com Limited"
"ASKAPO","ACL MOBILE LIMITED"
"ASKARI","Askari Infotech"
"ASKDBR","DABUR INDIA LIMITED"
"ASKEDU","Aask Education"
"ASKMLC","SPECIALITY RESTAURANTS LIMITED"
"ASKOTP","ACL MOBILE LIMITED"
"ASKSMS","ASKSMS SOFT SERVICE"
"ASKVDT","VEDANTU INNOVATIONS PRIVATE LIMITED"
"ASMAGS","National Informatics Centre Services Inc"
"ASMATR","ASMA TRADERS"
"ASMBLY","Centre for Good Governance"
"ASMFRX","MSEWA SOFTWARE SOLUTION PRIVATE LIMITED"
"ASMFUE","A S M FRIENDS FUEL"
"ASMIND","ASHAPURA SYNTHETIC MILLS"
"ASMRRG","OJAS SOFTECH PRIVATE LIMITED"
"ASMSDM","MAHARASHTRA KNOWLEDGE CORPORATION LIMITED"
"ASMTDR","National Informatics Centre Services Inc"
"ASNHIG","Mediquest Healthcom"
"ASNJOB","AASAANJOBS PRIVATE LIMITED"
"ASNMNY","LEEWAY"
"ASNPTS","ASIAN PAINTS LIMITED"
"ASOCTE","Associate Customer"
"ASOLLY","ADITYA BIRLA FASHION AND RETAIL LIMITED"
"ASOPAN","ASOPAN EXCLUSIVE"
"ASPBNT","Directorate of Electronic Delivery of Citizen Services"
"ASPCAB","BEECABS INDIA PVT LTD"
"ASPIRE","Aspire Networks Private Limited"
"ASPIRM","TIMES INTERNET LIMITED"
"ASPLSM","APAISER SOFTECH PVT LTD"
"ASPRIG","INTERGROW BRANDS PRIVATE LIMITED"
"ASQRSC","KG DIGITAL SOLUTIONS"
"ASRCLB","THE AMRITSAR CLUB"
"ASRTCS","TATA Consultancy Services Ltd"
"ASSBNK","Associate CoOperative Bank Ltd."
"ASSCCL","Ayshwarya Syndicate Souharda Credit Cooperative Limited"
"ASSIST","ONEASSIST CONSUMER SOLUTIONS PRIVATE LIMITED"
"ASSOBK","Associate CoOperative Bank Ltd."
"ASSPOL","National Informatics Centre Services Inc"
"ASSSMS","National Informatics Centre Services Inc"
"ASSTJP","AGRAWAL S S TRADING COMPANY PRIVATE LIMITED"
"ASSURE","SMC INSURANCE BROKERS PRIVATE LIMITED"
"ASTCMI","ASTER DM HEALTHCARE LTD"
"ASTECH","ALGOSYS TECHNOLOGIES PRIVATE LIMITED"
"ASTERH","ASTER DM HEALTHCARE LTD"
"ASTERL","ASTER DM HEALTHCARE LTD"
"ASTGYA","ASTROGYANI"
"ASTIXT","Astix Intelligence Management Systems"
"ASTODE","ASTODE SOLUTIONS"
"ASTORE","Raj Singh"
"ASTRAL","Resinova Chemie Limited"
"ASTRIC","ASTRIC COMPUTERS"
"ASTROP","Amateur Astronomers Group"
"ASTROS","Stardotstar Software Ltd"
"ASTRRV","ASTER DM HEALTHCARE LTD"
"ASTRSG","OJAS SOFTECH PRIVATE LIMITED"
"ASWPOI","ASWETANGI UTILITY SERVICE PRIVATE LIMITED"
"ASWTDL","IPAN REAL ESTATE PVT LTD"
"ATCABX","SQRO Technologies Private Limited"
"ATCHNO","ABHAY TECHNO SERVICES PRIVATE LIMITED"
"ATCHNS","ABHAY TECHNO SERVICES PRIVATE LIMITED"
"ATCMPS","Azure End to End Solutions Pvt. Ltd."
"ATCNOS","JAINISH ENTERTAINMENT PRIVATE LIMITED"
"ATCONL","ATC Online LLP"
"ATCPUB","ATC Online LLP"
"ATDFPL","Devika Fibres Private Limited"
"ATDMNY","ATD FINANCIAL SERVICES PRIVATE LIMITED"
"ATDSA","Bharti Airtel Limited"
"ATHDLR","Think Future Technologies Pvt. LTD."
"ATHIRA","AATHIRA VELLI MALIKAI"
"ATHMGM","Abhinav IT Solutions Pvt Ltd"
"ATHRIS","ATHRISAI AUTOMOTIVES"
"ATHWAA","DEVI COMPUTERS"
"ATISHY","ATISHAY LIMITED"
"ATJBPL","ANOPCHAND TILOKCHAND JEWELLERS PVT. LTD."
"ATJEWL","ANOPCHAND TILOKCHAND JEWELLERS PVT. LTD."
"ATJRPR","ANOPCHAND TILOKCHAND JEWELLERS PVT. LTD."
"ATLASI","FRSLABS RESEARCH SYSTEMS PVT LTD"
"ATLASM","Atlas Metal Industries"
"ATLASS","ATLAS TOURS & TRAVELS PRIVATE LIMITED"
"ATMIYA","ATMIYA PATHOLOGY LABORATORY"
"ATMMON","STATE BANK OF INDIA"
"ATMMVS","STATE BANK OF INDIA"
"ATMSBI","STATE BANK OF INDIA"
"ATMSMS","STATE BANK OF INDIA"
"ATMTAD","STATE BANK OF INDIA"
"ATNOOI","Hanle Solutions Pvt Ltd"
"ATOA","RS Matrimonial"
"ATONIM","ATON INFORMATICS PRIVATE LIMITED"
"ATOVIT","AUTOVIT CONSULTANTS"
"ATOZSR","ATOZ SERVICE"
"ATPCCB","The Anantapur District Cooperative Central Bank Ltd."
"ATPLIT","AUTOCRATIC TECHNOSOFT PRIVATE LIMITED"
"ATPLSE","Altruist Technologies Private Limited"
"ATPSTR","zuvin eduventures privat limited"
"ATREDS","A.TREDS LIMITED"
"ATREVA","REVA University"
"ATSAGR","AMOGHNYA TECH SOLUTIONS PRIVATE LIMITED"
"ATSEIN","AglaSem EduTech Pvt. Ltd."
"ATSESH","AglaSem EduTech Pvt. Ltd."
"ATSHUB","Auurum Digital"
"ATSSMS","AMOGHNYA TECH SOLUTIONS PRIVATE LIMITED"
"ATSTEC","AMOGHNYA TECH SOLUTIONS PRIVATE LIMITED"
"ATTRIS","Indecab Technology Services Pvt. Ltd."
"ATULSR","ATUL SERVICES"
"ATULYA","ATULIYA MILLS INDIA"
"ATVJPR","AUTOVIT CONSULTANTS"
"ATVPIN","Bharti Airtel Limited"
"ATVSCL","Believeit Technologies Pvt Ltd"
"ATVTJP","AUTOVIT CONSULTANTS"
"ATYATI","Atyati Technologies Pvt Ltd"
"ATZALT","ARTZSOURCE EXPORTS LLP"
"ATZPAY","PAYSWIFF SOLUTIONS PRIVATE LIMITED"
"ATZSTR","Bestoo Jns Pvt. Ltd"
"ATZSVD","EXCEL ONE STOP SOLUTION PVT LTD"
"AUBANK","AU SMALL FINANCE BANK LIMITED"
"AUBMOS","Motilal Oswal Financial services limited"
"AUBMSG","AU SMALL FINANCE BANK LIMITED"
"AUBSMS","AU SMALL FINANCE BANK LIMITED"
"AUCBNK","THE AKOLA URBAN COOP BANK LTD"
"AUCMIN","V.R. Infosoft Solution Pvt Ltd"
"AUCTGR","EProcurement Technologies Limited"
"AUDIKA","KONCEPTWISE DIGITAL MEDIA PVT LTD"
"AUDING","JAIKA MOTORS PRIVATE LIMITED"
"AUDOST","AU SMALL FINANCE BANK LIMITED"
"AUDRAI","Dhanashree Investments"
"AUFAIR","AMAR UJALA LIMITED"
"AUFAMC","Amar Ujala Foundation"
"AUGMNT","Augmont Gold Private Limited"
"AUITSM","AU SMALL FINANCE BANK LIMITED"
"AUJALA","Amar Ujala Foundation"
"AULIBE","Ahmedabad University"
"AULSYS","AMAR UJALA LIMITED"
"AUMIMG","AUM IMAGINEERING PVT LTD"
"AUMINF","AUM INFOTECH PRIVATE LIMITED"
"AUMNIP","Amar Ujala Foundation"
"AUMNLA","Amruteshwar urban multiple nidhi ltd"
"AUMSAI","DEVI COMPUTERS"
"AURAAM","AURAA COORDINATION AND PRODUCTION PRIVATE LIMITED"
"AURAPK","Manas Ayurved"
"AURLIA","ARVIND LIMITED"
"AURMEE","AuroMeera Technometrix Pvt. Ltd."
"AUSADM","ARUNACHAL UNIVERSITY OF STUDIES"
"AUSEDU","Edwise International LLP"
"AUSHA","Ausha Digital Pvt. Ltd."
"AUSHAS","Ausha Digital Pvt. Ltd."
"AUSNAM","ARUNACHAL UNIVERSITY OF STUDIES"
"AUSPAY","ASWETANGI UTILITY SERVICE PRIVATE LIMITED"
"AUSPOC","Ausha Digital Pvt. Ltd."
"AUSPOI","ASWETANGI UTILITY SERVICE PRIVATE LIMITED"
"AUTCOE","Reliance Industries Limited"
"AUTFNF","FNF INDIA PRIVATE LIMITED"
"AUTHSM","PROACTIVE PROFESSIONAL SERVICES PVT LTD"
"AUTMLS","Automiles"
"AUTOAV","AUTOPLEX AV"
"AUTOBL","BALAJI AUTOS"
"AUTOFN","Girnar software Private limited"
"AUTOMI","Automiles"
"AUTOPL","AUTOPLEX AV"
"AUTOPX","AUTOPLEX AV"
"AUTOVIT","AUTOVIT CONSULTANTS"
"AUTOVT","AUTOVIT CONSULTANTS"
"AUTVIT","AUTOVIT CONSULTANTS"
"AUURUM","Auurum Digital"
"AUXILO","AUXILO FINSERVE PRIVATE LIMITED"
"AVACLP","AVA MERCHANDISING SOLUTIONS PRIVATE LIMITED"
"AVADHH","AVADH AUTOMOBILES"
"AVADNA","Avadna Services Pvt. Ltd"
"AVAFIN","Goddard Technical Solutions Private Limited"
"AVAHAN","Cosmos Hospitals Private Limited"
"AVAILM","ANAND PROPERTY FINANCE LIMITED"
"AVANBK","AZHIYUR VANITHA CO OPERATIVE SOCIETY"
"AVANCE","AVANCEZONE"
"AVANTI","Avanti Learning Center"
"AVAOTP","AVA MERCHANDISING SOLUTIONS PRIVATE LIMITED"
"AVAPRO","AVA MERCHANDISING SOLUTIONS PRIVATE LIMITED"
"AVASTU","KASHIVISHWANATHJYOTISHVIDHYALAY"
"AVCCEG","AVC COLLEGE OF ENGINEERING"
"AVCCOL","AVC COLLEGE OF ENGINEERING"
"AVCJPR","AUTOVIT CONSULTANTS"
"AVCNSL","AUTOVIT CONSULTANTS"
"AVCPTC","AVCPOLYTECHNIC COLLEGE"
"AVCWHS","avcwomenshostel"
"AVDHAD","INTEGRATED RED CHERRY SOLUTIONS PRIVATE LIMITED"
"AVDHAN","ARTHAVARDHAN KURIES PRIVATE LIMITED"
"AVDKDP","INTEGRATED RED CHERRY SOLUTIONS PRIVATE LIMITED"
"AVDMP","Duggals Software And Services (P) Ltd"
"AVDMPJ","Duggals Software And Services (P) Ltd"
"AVDPBR","INTEGRATED RED CHERRY SOLUTIONS PRIVATE LIMITED"
"AVDPNG","AAVANTIKA GAS LIMITED"
"AVDRPM","INTEGRATED RED CHERRY SOLUTIONS PRIVATE LIMITED"
"AVDTDP","INTEGRATED RED CHERRY SOLUTIONS PRIVATE LIMITED"
"AVENTB","AVENT BUSINESS SOLUTIONS"
"AVENTK","AVENT BUSINESS SOLUTIONS"
"AVENTR","A V ENTERPRISES"
"AVESMS","A V ENTERPRISES"
"AVESOL","AVENT BUSINESS SOLUTIONS"
"AVFINN","AV FINANCIAL EXPERTS NETWORK PRIVATE LIMITED"
"AVFOAP","ARIHANTVAIKUNTFLATOWNERSASSN"
"AVICRS","UDAI AVIATION PVT LTD"
"AVICSP","AVI CAPITAL SERVICES PVT LTD"
"AVIDUS","FRSLABS RESEARCH SYSTEMS PVT LTD"
"AVIOTP","AVIVA LIFE INSURANCE COMPANY INDIA LIMITED"
"AVISIN","MERCURY CAR RENTALS PRIVATE LIMITED"
"AVISLE","MERCURY CAR RENTALS PRIVATE LIMITED"
"AVITAA","AVITA PROPERTIES"
"AVITCS","TATA Consultancy Services Ltd"
"AVIVAA","AVIVA LIFE INSURANCE COMPANY INDIA LIMITED"
"AVIVAB","AVIVA LIFE INSURANCE COMPANY INDIA LIMITED"
"AVIVAC","AVIVA LIFE INSURANCE COMPANY INDIA LIMITED"
"AVIVAI","AVIVA LIFE INSURANCE COMPANY INDIA LIMITED"
"AVJAIN","V.R. Infosoft Solution Pvt Ltd"
"AVKAMS","AVIKA MULTI STORE"
"AVMORG","Mayim Systech India Private Limited"
"AVNBIZ","AVN BUSINESS SOLUTIONS PRIVATE LIMITED"
"AVNDUS","Avendus Finance Private Limited"
"AVNPHS","edumerge Solutions Private Limited"
"AVNTKA","AAVANTIKA GAS LIMITED"
"AVRETL","AV Retail Pvt Ltd."
"AVRPAY","PAYSWIFF SOLUTIONS PRIVATE LIMITED"
"AVRSML","AVR Swarna Mahal Jewelry Private Limited"
"AVSCHL","KASHIVISHWANATHJYOTISHVIDHYALAY"
"AVSGLS","BUYSMS"
"AVSLTD","ARTHA VRDDHI SECURITIES LIMITED"
"AVTATA","DJ"
"AVTION","Kistone Digital Technology Solutions Private Limited"
"AVVNLS","ACL MOBILE LIMITED"
"AVVTAR","Parag Milk Foods LTD"
"AVZONE","AVANCEZONE"
"AWACSL","AIOCD PHARMASOFTTECH AWACS PRIVALTE LTD"
"AWARNS","Kistone Digital Technology Solutions Private Limited"
"AWORTH","ADWORTH DIGITAL MEDIA"
"AWPIND","AWP ASSISTANCE INDIA PRIVATE LIMITED"
"AWSMPP","Shoonya Connections Pvt Ltd"
"AXEBKS","AXESS SOLUTIONS PRIVATE LIMITED"
"AXESSS","AXESS SOLUTIONS PRIVATE LIMITED"
"AXINFO","Alertbox Ventures Private Limited"
"AXISB","AXIS BANK LIMITED"
"AXISBK","AXIS BANK LIMITED"
"AXISDT","AXIS SECURITIES LIMITED"
"AXISHR","AXIS BANK LIMITED"
"AXISIN","AXIS BANK LIMITED"
"AXISMF","AXIS ASSET MANAGEMENT CO LTD"
"AXISMR","AXIS BANK LIMITED"
"AXISPR","AXIS BANK LIMITED"
"AXISSR","AXIS BANK LIMITED"
"AXISVC","Axisvation Solutions"
"AXKJPS","AXESS SOLUTIONS PRIVATE LIMITED"
"AXKOSK","Akya Retail Private Limited"
"AXPBEN","AMERICAN EXPRESS INDIA PRIVATE LIMITED"
"AXPCHR","Charter BPO Solutions Private Limited"
"AXPOPS","American Express Banking Corp."
"AXPVPN","American Express Banking Corp."
"AXSFI","AXIS BANK LIMITED"
"AXSFIN","AXIS BANK LIMITED"
"AXSSCH","AXESS SOLUTIONS PRIVATE LIMITED"
"AXTSFA","Astix Intelligence Management Systems"
"AXUTIL","Radius Synergies International Private Limited"
"AYATRA","YATRA ONLINE PRIVATE LIMITED"
"AYUSHA","AYUSH AUTOMOBILE"
"AYUSHT","Ayush Tours And Travels"
"AZALEA","Edchemy Solutions India Private Limited"
"AZESTR","Bestoo Jns Pvt. Ltd"
"AZMARQ","Azmarq Technovation Private Limited"
"AZORAA","ROUNDPAY TECHNO MEDIA OPC PVT LTD"
"AZPFIT","AWP ASSISTANCE INDIA PRIVATE LIMITED"
"AZPIND","AWP ASSISTANCE INDIA PRIVATE LIMITED"
"AZPSSB","The Amravati Zillha Parishad Shikshak Sahkari Bank Limited Amravati"
"AZSTOR","Bestoo Jns Pvt. Ltd"
"AZSTRE","Bestoo Jns Pvt. Ltd"
"AZTECH","A2Z tech Solutions"
"AZYRBK","AZHIYUR SERVICE CO OPERTIVE SOCIETY"
"BAALAR","BALAR FABRICS PVT LTD"
"BAANIM","BAANI MILK PRODUCER COMPANY LIMITED"
"BAAZAR","PRP SERVICES PRIVATE LIMITED"
"BABARC","BABA AGRO FOOD LIMITED"
"BABAZI","SBN Gaming Network Pvt. Ltd"
"BABYEL","BABY E'LAN"
"BABYLG","Avyay Technologies"
"BABYOE","Brainbees Solutions Private Limited"
"BABYOY","Mahindra Retail Limited"
"BACHRI","BACHHRI SAMABAY KRISHI UNNAYAN SAMITY LIMITED"
"BADOLA","BADOLA CARS PRIVATE LIMITED"
"BAFIND","BUSSAN AUTO FINANCE INDIA PRIVATE LIMITED"
"BAFNAS","KG DIGITAL SOLUTIONS"
"BAGADE","Bagade Bandhu Saraf"
"BAGGAM","Bagga Link Motors Ltd"
"BAGICL","Rohit Enterprises"
"BAGZNE","BAGZONE LIFESTYLES PRIVATE LIMITED"
"BAICON","ZEE ENTERTAINMENT ENTERPRISES LIMITED"
"BAITUH","BAITU TECHNOLOGY PRIVATE LIMITED"
"BAJAJA","Bajaj Auto limited"
"BAJAJC","Bajaj Auto limited"
"BAJAJD","Bajaj Auto limited"
"BAJAJF","BAJAJ FINANCE LIMITED"
"BAJAJM","Bajaj Auto limited"
"BAJAJS","Bajaj Auto limited"
"BAJAJU","Bajaj Auto limited"
"BAJAUT","Bajaj Auto limited"
"BAJCHE","Bajaj Auto limited"
"BAJCVL","Bajaj Auto limited"
"BAJELE","Bajaj Electricals Limited"
"BAJEPC","Bajaj Auto limited"
"BAJFLG","Bajaj Auto limited"
"BAJHUS","Bajaj Auto limited"
"BAJITX","BUYSMS"
"BAJNPS","Tagnpin Web Solutions LLP"
"BAJPUL","Bajaj Auto limited"
"BAKSON","BAKSON DRUGS AND PHARMACEUTICALS PVT LTD"
"BALAJA","SHREE BALAJI TRADERS"
"BALAJI","BALAJI PATHOLOGY LABORATORY"
"BALAUT","BALAJI AUTOS"
"BALIFE","Bharti Axa Life Insurance Company Ltd"
"BALLNS","Balloons Unlimited"
"BALLYB","RELIANCE RETAIL LIMITED"
"BALMER","National Informatics Centre Services Inc"
"BALMOB","BALAJI AUTOS"
"BALMOT","BALAJI MOTORS"
"BALSOF","BALAJI SOFTWARE SOLUTION"
"BAMBUS","DEVI COMPUTERS"
"BAMUAA","MAHARASHTRA KNOWLEDGE CORPORATION LIMITED"
"BAMUAU","MAHARASHTRA KNOWLEDGE CORPORATION LIMITED"
"BAMULD","Directorate of Electronic Delivery of Citizen Services"
"BANASS","BANAS STEEL PRIVATE LIMITED"
"BANDCO","BNC"
"BANDHJ","RANG BANDHEJ RETAIL PVT LTD"
"BANEWS","BHARATI AGRI"
"BANFIN","BANSAL COMTRADE PVT LTD"
"BANIYA","BANIYA KI DUKAN PVT LTD"
"BANKBC","SEC2PAY INDIA E"
"BANKBR","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BANKBZ","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BANKIT","BANKIT SERVICES PRIVATE LIMITED"
"BANOTP","ACL MOBILE LIMITED"
"BANSAL","BANSAL AGENCIES"
"BANSMS","ACL MOBILE LIMITED"
"BANTIA","CHANDAN BANTHIA"
"BAPAYE","Dr. Bapaye Hospital"
"BAPLTD","BLUECRAFT AGRO PVT LTD"
"BAPSMU","BOCHASANWASI SHRI AKSHARPURUSHOTTAM SWAMINARAYAN SANSTHA"
"BAPSVM","BAPS SWAMINARAYAN VIDYAPITH"
"BAPTST","Candour Systems"
"BARAZA","The chocolate spoon company pvt ltd"
"BARBEQ","BARBEQUE"
"BARCMB","National Informatics Centre Services Inc"
"BARCMS","BHABHA ATOMIC RESEARCH CENTRE"
"BAREAN","Onesto Labs Private Limited"
"BARECO","Onesto Labs Private Limited"
"BAREIN","Onesto Labs Private Limited"
"BASAVA","SHRI BASAVESHWAR SAHAKARI BANK NIYAMIT BAGALKOT"
"BASBNK","Bajiraoappa Sahakari Bank Ltd.Ankalkhop"
"BASEDU","BASE Educational Services Pvt Ltd"
"BASHOP","M/S BANARASI SHOP"
"BASISP","BAABUJI VENTURESS PRIVATE LIMITED"
"BASODA","BASODA NAGRIK SAHKARI BANK LTD"
"BASSET","I Qube"
"BASUKI","BAAMBASUKI CARD PVT. LTD."
"BASYAM","BHASHYAM EDUCATIONAL SOCIETY"
"BATACS","Bata India Limited"
"BATAIN","Bata India Limited"
"BATALP","Bata India Limited"
"BATDEK","Girnar software Private limited"
"BATDIR","BATTERY DIRECTORY & YEAR BOOK"
"BATERY","CHENNAI BATTERY BAZAAR"
"BATRAS","DR BATRA'S POSITIVE HEALTH CLINIC PRIVATE LIMITED"
"BAWAKP","BAWA FLOAT GLASS LIMITED"
"BAXAGI","BHARTI AXA GENERAL INSURANCE COMPANY LIMITED"
"BAXALI","Bharti Axa Life Insurance Company Ltd"
"BAYERC","GO 2 MARKET INDIA PRIVATE LIMITED"
"BAZAAR","CHENNAI BATTERY BAZAAR"
"BAZZAR","OS DIGITAL"
"BBAAZI","TIMES INTERNET LIMITED"
"BBAJAJ","BANSHIDHAR AUTO"
"BBALRT","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBALTS","ZINKA LOGISTICS SOLUTIONS PRIVATE LIMITED"
"BBAPLY","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBAPPS","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBASIA","ASIANET SATELLITE COMMUNICATIONS PRIVATE LIMITED"
"BBATCS","TATA Consultancy Services Ltd"
"BBBUDY","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBCARD","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBCASH","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBCBAK","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBCCRD","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBCLIK","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBCPCA","B B C P AND ASSOCIATES"
"BBCRCD","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBCRDS","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBCRDT","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBCRDZ","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBCRED","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBCRPT","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBCRSC","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBCSCR","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBCSEZ","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBDALY","Supermarket Grocery Supplied Private Limited"
"BBDGTL","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBDNLD","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBEXPR","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBEZCR","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBEZHL","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBEZPL","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBFREE","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBFRND","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBFUEL","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBFUND","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBHLBT","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBHLEZ","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBHLON","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBHMLN","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBHOME","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBHOUS","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBINST","A&A DUKAAN FINANCIAL SERVICES PRIVATE LIMITED"
"BBKILO","SKY GATE HOSPITALITY PRIVATE LIMITED"
